InvoiceId,InvoiceDate,CustomerId,AddressId,TaxBase,TotalVat,Total
63,2021-02-26,1,3,63000,13230,76230
64,2020-05-12,3,3,64000,13440,77440
65,2021-03-31,2,2,65000,13650,78650
66,2021-05-03,1,3,66000,13860,79860
67,2022-11-20,2,1,67000,14070,81070
68,2024-09-23,3,1,68000,14280,82280
69,2024-07-08,2,3,69000,14490,83490
70,2021-09-04,2,1,70000,14700,84700
71,2020-04-25,1,1,71000,14910,85910
72,2021-04-12,1,2,72000,15120,87120
73,2024-12-13,3,2,73000,15330,88330
74,2021-09-04,1,2,74000,15540,89540
75,2023-11-10,3,1,75000,15750,90750
76,2024-03-25,3,1,76000,15960,91960
77,2021-04-10,2,3,77000,16170,93170
78,2023-03-11,2,3,78000,16380,94380
79,2024-11-26,1,3,79000,16590,95590
80,2021-11-07,3,3,80000,16800,96800
81,2020-03-14,3,1,81000,17010,98010
82,2021-03-10,3,1,82000,17220,99220
83,2024-01-29,2,1,83000,17430,100430
84,2024-08-16,3,3,84000,17640,101640
85,2022-05-03,1,3,85000,17850,102850
86,2024-05-08,3,3,86000,18060,104060
87,2021-03-18,3,3,87000,18270,105270
88,2021-07-17,1,1,88000,18480,106480
89,2022-02-18,3,1,89000,18690,107690
90,2022-11-14,2,2,90000,18900,108900
91,2024-10-30,1,1,91000,19110,110110
92,2021-06-26,3,3,92000,19320,111320
93,2024-06-10,1,2,93000,19530,112530
94,2022-01-26,3,2,94000,19740,113740
95,2020-09-25,1,3,95000,19950,114950
96,2022-10-28,2,2,96000,20160,116160
97,2023-04-19,2,2,97000,20370,117370
98,2021-05-29,2,1,98000,20580,118580
99,2022-12-01,2,3,99000,20790,119790
100,2022-03-12,3,1,100000,21000,121000
101,2024-02-05,1,2,101000,21210,122210
102,2023-12-25,2,3,102000,21420,123420
103,2022-01-08,2,1,103000,21630,124630
104,2021-07-18,1,3,104000,21840,125840
105,2024-01-10,2,3,105000,22050,127050
106,2023-01-20,1,2,106000,22260,128260
107,2020-01-14,1,2,107000,22470,129470
108,2023-10-03,3,1,108000,22680,130680
109,2023-04-18,2,3,109000,22890,131890
110,2024-10-30,2,3,110000,23100,133100
111,2020-03-26,1,3,111000,23310,134310
112,2022-06-09,1,1,112000,23520,135520
113,2021-06-24,1,3,113000,23730,136730
114,2023-10-14,2,3,114000,23940,137940
115,2020-05-09,1,3,115000,24150,139150
116,2021-09-09,3,1,116000,24360,140360
117,2020-06-12,3,1,117000,24570,141570
118,2023-04-30,1,3,118000,24780,142780
119,2023-06-03,1,3,119000,24990,143990
120,2022-09-23,3,3,120000,25200,145200
121,2022-03-05,2,3,121000,25410,146410
122,2023-08-14,1,2,122000,25620,147620
123,2021-03-30,1,2,123000,25830,148830
124,2021-11-27,1,3,124000,26040,150040
125,2022-05-29,2,2,125000,26250,151250
126,2020-06-23,1,3,126000,26460,152460
127,2024-09-18,1,1,127000,26670,153670
128,2020-12-11,1,3,128000,26880,154880
129,2021-10-29,3,3,129000,27090,156090
130,2022-04-16,2,1,130000,27300,157300
131,2020-01-06,3,3,131000,27510,158510
132,2022-05-29,2,3,132000,27720,159720
133,2023-07-12,1,3,133000,27930,160930
134,2021-01-21,2,3,134000,28140,162140
135,2022-03-18,2,2,135000,28350,163350
136,2022-07-23,3,1,136000,28560,164560
137,2023-10-18,3,2,137000,28770,165770
138,2020-07-20,2,1,138000,28980,166980
139,2024-01-25,1,2,139000,29190,168190
140,2020-05-10,3,3,140000,29400,169400
141,2024-06-26,2,2,141000,29610,170610
142,2024-04-19,2,2,142000,29820,171820
143,2020-06-10,3,1,143000,30030,173030
144,2022-05-13,1,1,144000,30240,174240
145,2023-10-29,3,3,145000,30450,175450
146,2022-02-12,3,3,146000,30660,176660
147,2021-09-10,3,2,147000,30870,177870
148,2021-05-09,2,2,148000,31080,179080
149,2023-03-02,1,1,149000,31290,180290
150,2024-10-07,1,1,150000,31500,181500
151,2023-01-27,2,1,151000,31710,182710
152,2021-09-26,1,2,152000,31920,183920
153,2021-08-23,1,1,153000,32130,185130
154,2024-09-28,2,3,154000,32340,186340
155,2020-07-01,3,1,155000,32550,187550
156,2024-11-09,2,3,156000,32760,188760
157,2023-06-30,3,2,157000,32970,189970
158,2020-11-26,1,1,158000,33180,191180
159,2024-06-14,3,1,159000,33390,192390
160,2022-09-14,2,1,160000,33600,193600
161,2020-04-28,3,1,161000,33810,194810
162,2023-11-25,3,3,162000,34020,196020
163,2020-05-06,2,1,163000,34230,197230
164,2024-04-24,2,2,164000,34440,198440
165,2020-06-12,3,2,165000,34650,199650
166,2024-06-07,3,3,166000,34860,200860
167,2022-06-24,1,1,167000,35070,202070
168,2023-06-05,3,3,168000,35280,203280
169,2022-10-19,1,3,169000,35490,204490
170,2022-04-24,2,3,170000,35700,205700
171,2023-04-30,1,1,171000,35910,206910
172,2024-03-31,1,3,172000,36120,208120
173,2024-02-02,2,1,173000,36330,209330
174,2020-08-12,2,1,174000,36540,210540
175,2024-06-05,2,1,175000,36750,211750
176,2022-09-06,2,2,176000,36960,212960
177,2020-10-23,2,1,177000,37170,214170
178,2022-12-07,3,1,178000,37380,215380
179,2023-05-20,1,3,179000,37590,216590
180,2020-09-20,2,3,180000,37800,217800
181,2023-10-21,3,3,181000,38010,219010
182,2021-02-10,3,3,182000,38220,220220
183,2020-10-19,3,1,183000,38430,221430
184,2023-11-20,3,3,184000,38640,222640
185,2021-12-10,1,2,185000,38850,223850
186,2024-04-28,1,3,186000,39060,225060
187,2021-02-27,2,1,187000,39270,226270
188,2020-04-02,3,1,188000,39480,227480
189,2024-02-13,3,1,189000,39690,228690
190,2021-04-12,2,1,190000,39900,229900
191,2020-06-28,2,2,191000,40110,231110
192,2022-04-01,1,2,192000,40320,232320
193,2023-12-27,2,1,193000,40530,233530
194,2023-11-06,1,1,194000,40740,234740
195,2024-04-26,1,1,195000,40950,235950
196,2024-11-02,3,2,196000,41160,237160
197,2020-02-16,3,3,197000,41370,238370
198,2024-01-23,3,3,198000,41580,239580
199,2023-04-08,2,2,199000,41790,240790
200,2021-04-04,3,1,200000,42000,242000
201,2020-11-29,2,2,201000,42210,243210
202,2024-05-31,3,3,202000,42420,244420
203,2022-03-10,2,3,203000,42630,245630
204,2024-02-16,3,2,204000,42840,246840
205,2022-09-17,1,1,205000,43050,248050
206,2024-10-29,2,1,206000,43260,249260
207,2024-01-09,2,2,207000,43470,250470
208,2020-07-03,2,3,208000,43680,251680
209,2024-11-03,1,2,209000,43890,252890
210,2020-09-26,3,3,210000,44100,254100
211,2024-09-16,2,2,211000,44310,255310
212,2022-12-29,1,3,212000,44520,256520
213,2022-12-19,3,2,213000,44730,257730
214,2023-07-21,2,3,214000,44940,258940
215,2020-05-20,2,3,215000,45150,260150
216,2021-04-15,1,2,216000,45360,261360
217,2024-09-04,3,2,217000,45570,262570
218,2022-07-05,2,3,218000,45780,263780
219,2024-05-02,2,2,219000,45990,264990
220,2022-04-23,3,2,220000,46200,266200
221,2022-06-12,3,2,221000,46410,267410
222,2020-03-01,1,3,222000,46620,268620
223,2022-10-16,1,3,223000,46830,269830
224,2023-07-07,3,3,224000,47040,271040
225,2020-07-30,3,1,225000,47250,272250
226,2024-12-27,3,1,226000,47460,273460
227,2020-07-05,2,2,227000,47670,274670
228,2024-11-09,1,1,228000,47880,275880
229,2021-11-10,2,3,229000,48090,277090
230,2021-10-27,1,2,230000,48300,278300
231,2021-09-14,1,2,231000,48510,279510
232,2021-04-02,2,3,232000,48720,280720
233,2023-04-30,2,1,233000,48930,281930
234,2020-04-02,1,1,234000,49140,283140
235,2022-11-16,1,3,235000,49350,284350
236,2024-05-23,2,3,236000,49560,285560
237,2024-11-27,2,2,237000,49770,286770
238,2023-06-24,3,1,238000,49980,287980
239,2023-04-30,2,2,239000,50190,289190
240,2020-12-18,1,1,240000,50400,290400
241,2021-05-08,2,3,241000,50610,291610
242,2022-04-10,2,3,242000,50820,292820
243,2024-03-08,2,2,243000,51030,294030
244,2024-11-02,3,2,244000,51240,295240
245,2020-04-26,1,3,245000,51450,296450
246,2021-09-06,1,3,246000,51660,297660
247,2020-02-09,2,1,247000,51870,298870
248,2024-10-16,3,2,248000,52080,300080
249,2020-12-07,3,1,249000,52290,301290
250,2022-10-12,2,1,250000,52500,302500
251,2022-05-28,2,2,251000,52710,303710
252,2020-07-09,1,3,252000,52920,304920
253,2021-10-24,3,1,253000,53130,306130
254,2024-03-21,2,2,254000,53340,307340
255,2024-06-19,2,2,255000,53550,308550
256,2022-04-03,3,2,256000,53760,309760
257,2021-03-06,1,1,257000,53970,310970
258,2020-07-09,1,3,258000,54180,312180
259,2020-09-01,1,1,259000,54390,313390
260,2022-03-05,1,3,260000,54600,314600
261,2020-06-23,2,2,261000,54810,315810
262,2022-02-25,2,1,262000,55020,317020
263,2020-09-03,2,1,263000,55230,318230
264,2023-06-22,1,2,264000,55440,319440
265,2022-12-22,3,1,265000,55650,320650
266,2024-07-20,3,1,266000,55860,321860
267,2024-04-29,1,2,267000,56070,323070
268,2022-11-14,1,3,268000,56280,324280
269,2021-01-21,3,3,269000,56490,325490
270,2023-01-18,2,1,270000,56700,326700
271,2024-05-24,3,1,271000,56910,327910
272,2023-03-11,2,3,272000,57120,329120
273,2024-09-28,1,3,273000,57330,330330
274,2024-07-31,2,2,274000,57540,331540
275,2023-09-12,3,1,275000,57750,332750
276,2021-08-10,3,2,276000,57960,333960
277,2021-01-10,1,3,277000,58170,335170
278,2024-11-05,1,3,278000,58380,336380
279,2022-09-29,1,1,279000,58590,337590
280,2024-10-14,1,1,280000,58800,338800
281,2024-05-04,3,1,281000,59010,340010
282,2024-11-07,1,1,282000,59220,341220
283,2022-08-29,1,3,283000,59430,342430
284,2020-10-12,2,3,284000,59640,343640
285,2020-01-07,3,3,285000,59850,344850
286,2022-07-03,1,2,286000,60060,346060
287,2024-05-16,2,1,287000,60270,347270
288,2021-12-25,2,1,288000,60480,348480
289,2021-02-04,3,2,289000,60690,349690
290,2023-02-10,2,3,290000,60900,350900
291,2020-04-29,3,3,291000,61110,352110
292,2021-08-23,2,2,292000,61320,353320
293,2021-10-27,1,1,293000,61530,354530
294,2023-06-04,3,3,294000,61740,355740
295,2021-04-08,2,3,295000,61950,356950
296,2023-04-15,3,2,296000,62160,358160
297,2023-03-30,3,2,297000,62370,359370
298,2020-12-26,2,1,298000,62580,360580
299,2023-02-09,2,2,299000,62790,361790
300,2024-09-20,3,1,300000,63000,363000
301,2020-10-07,1,2,301000,63210,364210
302,2023-12-04,1,3,302000,63420,365420
303,2023-12-09,1,2,303000,63630,366630
304,2020-08-13,3,2,304000,63840,367840
305,2021-03-12,2,2,305000,64050,369050
306,2024-08-07,3,3,306000,64260,370260
307,2021-12-28,2,1,307000,64470,371470
308,2023-05-23,1,1,308000,64680,372680
309,2024-05-18,3,2,309000,64890,373890
310,2021-10-11,2,2,310000,65100,375100
311,2020-01-13,1,2,311000,65310,376310
312,2021-05-03,1,3,312000,65520,377520
313,2020-02-07,3,2,313000,65730,378730
314,2024-09-08,3,1,314000,65940,379940
315,2020-07-29,1,2,315000,66150,381150
316,2023-01-02,3,3,316000,66360,382360
317,2020-06-19,2,1,317000,66570,383570
318,2023-09-28,2,1,318000,66780,384780
319,2023-01-13,1,1,319000,66990,385990
320,2024-08-15,3,2,320000,67200,387200
321,2024-08-25,2,2,321000,67410,388410
322,2024-10-28,2,1,322000,67620,389620
323,2021-01-13,1,2,323000,67830,390830
324,2022-08-20,1,3,324000,68040,392040
325,2024-05-25,3,1,325000,68250,393250
326,2023-06-21,3,1,326000,68460,394460
327,2024-07-17,1,1,327000,68670,395670
328,2023-07-28,2,2,328000,68880,396880
329,2024-01-08,1,3,329000,69090,398090
330,2021-06-19,1,1,330000,69300,399300
331,2024-08-08,2,1,331000,69510,400510
332,2022-12-22,3,2,332000,69720,401720
333,2020-06-10,3,3,333000,69930,402930
334,2024-10-11,1,1,334000,70140,404140
335,2020-09-18,1,1,335000,70350,405350
336,2021-02-12,1,3,336000,70560,406560
337,2021-01-03,1,2,337000,70770,407770
338,2022-07-11,1,2,338000,70980,408980
339,2020-08-09,1,3,339000,71190,410190
340,2021-10-05,3,1,340000,71400,411400
341,2022-05-01,3,3,341000,71610,412610
342,2021-12-24,3,1,342000,71820,413820
343,2023-11-06,1,2,343000,72030,415030
344,2023-02-04,1,1,344000,72240,416240
345,2022-01-16,2,3,345000,72450,417450
346,2021-04-12,3,1,346000,72660,418660
347,2020-12-17,1,3,347000,72870,419870
348,2022-04-22,1,1,348000,73080,421080
349,2022-02-14,3,3,349000,73290,422290
350,2023-05-22,1,2,350000,73500,423500
351,2023-06-21,1,3,351000,73710,424710
352,2021-12-08,2,2,352000,73920,425920
353,2020-12-17,2,1,353000,74130,427130
354,2023-08-30,3,1,354000,74340,428340
355,2021-10-16,3,3,355000,74550,429550
356,2024-07-08,2,1,356000,74760,430760
357,2021-01-31,3,2,357000,74970,431970
358,2024-11-19,1,3,358000,75180,433180
359,2022-01-11,3,3,359000,75390,434390
360,2022-07-29,3,3,360000,75600,435600
361,2023-12-28,3,2,361000,75810,436810
362,2021-02-27,2,1,362000,76020,438020
363,2021-05-09,2,3,363000,76230,439230
364,2022-06-04,1,1,364000,76440,440440
365,2023-01-14,2,3,365000,76650,441650
366,2020-06-22,3,3,366000,76860,442860
367,2021-02-16,1,2,367000,77070,444070
368,2022-04-15,1,3,368000,77280,445280
369,2020-07-25,3,2,369000,77490,446490
370,2020-01-19,3,2,370000,77700,447700
371,2020-09-16,2,3,371000,77910,448910
372,2021-09-08,1,1,372000,78120,450120
373,2024-12-20,3,1,373000,78330,451330
374,2020-02-01,2,3,374000,78540,452540
375,2023-05-13,3,3,375000,78750,453750
376,2020-09-06,3,1,376000,78960,454960
377,2023-12-03,2,2,377000,79170,456170
378,2020-07-20,2,2,378000,79380,457380
379,2021-02-14,2,1,379000,79590,458590
380,2021-01-07,1,1,380000,79800,459800
381,2023-12-08,3,2,381000,80010,461010
382,2021-01-06,1,3,382000,80220,462220
383,2021-10-19,2,2,383000,80430,463430
384,2022-10-27,2,1,384000,80640,464640
385,2024-09-21,2,1,385000,80850,465850
386,2020-12-01,3,3,386000,81060,467060
387,2020-07-05,1,3,387000,81270,468270
388,2022-12-30,1,2,388000,81480,469480
389,2021-05-03,2,3,389000,81690,470690
390,2021-08-25,1,3,390000,81900,471900
391,2021-09-17,2,3,391000,82110,473110
392,2023-12-13,3,1,392000,82320,474320
393,2021-12-23,3,3,393000,82530,475530
394,2024-11-02,1,3,394000,82740,476740
395,2024-06-10,2,3,395000,82950,477950
396,2020-10-27,3,3,396000,83160,479160
397,2024-10-12,2,1,397000,83370,480370
398,2024-08-31,1,1,398000,83580,481580
399,2022-12-19,3,3,399000,83790,482790
400,2024-10-20,3,2,400000,84000,484000
401,2024-04-14,3,1,401000,84210,485210
402,2022-05-20,1,3,402000,84420,486420
403,2023-09-23,3,3,403000,84630,487630
404,2021-08-06,1,2,404000,84840,488840
405,2024-09-18,3,1,405000,85050,490050
406,2022-11-03,3,2,406000,85260,491260
407,2021-10-08,2,3,407000,85470,492470
408,2022-04-11,1,3,408000,85680,493680
409,2022-04-11,3,1,409000,85890,494890
410,2020-03-07,3,1,410000,86100,496100
411,2022-09-19,2,2,411000,86310,497310
412,2024-02-19,1,3,412000,86520,498520
413,2020-03-13,1,1,413000,86730,499730
414,2020-04-10,2,3,414000,86940,500940
415,2021-07-14,2,1,415000,87150,502150
416,2024-01-25,1,1,416000,87360,503360
417,2023-06-23,3,2,417000,87570,504570
418,2021-12-01,1,3,418000,87780,505780
419,2021-08-14,2,2,419000,87990,506990
420,2021-11-09,1,1,420000,88200,508200
421,2020-10-06,1,2,421000,88410,509410
422,2024-08-30,2,2,422000,88620,510620
423,2024-04-06,1,1,423000,88830,511830
424,2020-04-09,1,3,424000,89040,513040
425,2023-01-23,1,3,425000,89250,514250
426,2020-11-25,1,1,426000,89460,515460
427,2023-09-04,3,3,427000,89670,516670
428,2022-04-13,2,3,428000,89880,517880
429,2022-10-10,2,3,429000,90090,519090
430,2024-10-27,2,2,430000,90300,520300
431,2024-09-01,1,2,431000,90510,521510
432,2023-09-19,2,3,432000,90720,522720
433,2024-01-06,1,2,433000,90930,523930
434,2022-06-08,3,1,434000,91140,525140
435,2024-10-12,1,3,435000,91350,526350
436,2022-04-26,1,2,436000,91560,527560
437,2020-01-28,1,3,437000,91770,528770
438,2023-07-19,1,3,438000,91980,529980
439,2024-05-21,2,2,439000,92190,531190
440,2020-01-22,2,1,440000,92400,532400
441,2021-05-31,2,2,441000,92610,533610
442,2020-08-29,2,2,442000,92820,534820
443,2020-01-02,1,2,443000,93030,536030
444,2020-02-18,3,2,444000,93240,537240
445,2024-12-20,1,2,445000,93450,538450
446,2022-04-18,1,2,446000,93660,539660
447,2021-11-25,2,1,447000,93870,540870
448,2022-09-19,2,1,448000,94080,542080
449,2020-07-22,2,1,449000,94290,543290
450,2022-11-05,2,1,450000,94500,544500
451,2023-01-10,2,2,451000,94710,545710
452,2024-11-30,1,2,452000,94920,546920
453,2022-01-18,2,2,453000,95130,548130
454,2024-12-24,2,2,454000,95340,549340
455,2024-01-06,3,2,455000,95550,550550
456,2021-02-24,2,2,456000,95760,551760
457,2022-03-20,2,3,457000,95970,552970
458,2022-07-07,2,3,458000,96180,554180
459,2022-10-09,3,3,459000,96390,555390
460,2023-08-19,1,1,460000,96600,556600
461,2021-07-09,3,1,461000,96810,557810
462,2023-04-27,2,3,462000,97020,559020
463,2022-10-08,2,3,463000,97230,560230
464,2021-05-06,2,2,464000,97440,561440
465,2024-10-10,3,2,465000,97650,562650
466,2023-10-02,3,3,466000,97860,563860
467,2020-11-27,1,3,467000,98070,565070
468,2024-03-10,1,2,468000,98280,566280
469,2024-09-06,1,1,469000,98490,567490
470,2023-02-09,2,2,470000,98700,568700
471,2023-02-02,3,1,471000,98910,569910
472,2022-03-11,2,1,472000,99120,571120
473,2023-05-28,2,1,473000,99330,572330
474,2022-07-05,3,2,474000,99540,573540
475,2020-04-26,3,1,475000,99750,574750
476,2020-02-01,3,1,476000,99960,575960
477,2024-04-02,2,1,477000,100170,577170
478,2020-01-15,3,2,478000,100380,578380
479,2023-10-25,3,3,479000,100590,579590
480,2022-10-11,2,3,480000,100800,580800
481,2020-12-28,3,2,481000,101010,582010
482,2023-12-24,1,1,482000,101220,583220
483,2023-06-19,3,2,483000,101430,584430
484,2020-06-20,2,2,484000,101640,585640
485,2023-04-13,1,3,485000,101850,586850
486,2022-01-30,2,3,486000,102060,588060
487,2024-07-23,3,1,487000,102270,589270
488,2023-01-08,3,3,488000,102480,590480
489,2024-12-27,2,3,489000,102690,591690
490,2020-01-26,1,3,490000,102900,592900
491,2022-02-23,3,1,491000,103110,594110
492,2023-07-12,3,1,492000,103320,595320
493,2024-05-24,1,2,493000,103530,596530
494,2024-02-08,1,1,494000,103740,597740
495,2021-01-15,2,3,495000,103950,598950
496,2022-02-27,2,3,496000,104160,600160
497,2024-09-13,2,3,497000,104370,601370
498,2022-09-18,1,2,498000,104580,602580
499,2021-07-23,3,2,499000,104790,603790
500,2023-06-16,1,1,500000,105000,605000
501,2022-12-19,2,3,501000,105210,606210
502,2020-01-16,3,2,502000,105420,607420
503,2022-10-23,1,1,503000,105630,608630
504,2023-06-25,3,2,504000,105840,609840
505,2023-02-01,3,1,505000,106050,611050
506,2024-05-02,1,1,506000,106260,612260
507,2020-02-24,2,1,507000,106470,613470
508,2023-03-25,3,2,508000,106680,614680
509,2024-07-24,3,3,509000,106890,615890
510,2023-10-26,3,1,510000,107100,617100
511,2020-06-22,3,1,511000,107310,618310
512,2024-03-11,2,2,512000,107520,619520
513,2021-10-12,1,1,513000,107730,620730
514,2024-04-21,3,2,514000,107940,621940
515,2020-02-15,3,2,515000,108150,623150
516,2023-04-20,1,3,516000,108360,624360
517,2020-07-28,3,3,517000,108570,625570
518,2021-07-08,2,1,518000,108780,626780
519,2023-04-26,1,3,519000,108990,627990
520,2020-06-27,3,1,520000,109200,629200
521,2022-06-27,1,3,521000,109410,630410
522,2022-04-25,2,3,522000,109620,631620
523,2023-08-12,2,3,523000,109830,632830
524,2020-03-25,2,1,524000,110040,634040
525,2021-10-08,1,1,525000,110250,635250
526,2024-09-14,1,2,526000,110460,636460
527,2023-06-15,3,2,527000,110670,637670
528,2023-04-21,3,1,528000,110880,638880
529,2020-02-13,3,3,529000,111090,640090
530,2023-02-06,3,2,530000,111300,641300
531,2024-10-22,2,2,531000,111510,642510
532,2024-07-17,2,2,532000,111720,643720
533,2023-03-06,2,1,533000,111930,644930
534,2024-02-09,2,1,534000,112140,646140
535,2024-07-26,2,1,535000,112350,647350
536,2022-03-20,1,3,536000,112560,648560
537,2022-12-09,2,2,537000,112770,649770
538,2021-09-11,3,3,538000,112980,650980
539,2022-02-03,1,2,539000,113190,652190
540,2021-01-07,3,2,540000,113400,653400
541,2020-12-06,3,2,541000,113610,654610
542,2021-08-06,3,3,542000,113820,655820
543,2020-02-14,3,2,543000,114030,657030
544,2024-01-31,3,1,544000,114240,658240
545,2021-09-09,2,2,545000,114450,659450
546,2021-05-03,3,2,546000,114660,660660
547,2022-01-31,1,1,547000,114870,661870
548,2021-06-03,3,3,548000,115080,663080
549,2020-08-02,1,1,549000,115290,664290
550,2024-04-11,3,3,550000,115500,665500
551,2024-05-20,2,2,551000,115710,666710
552,2023-04-12,2,1,552000,115920,667920
553,2024-05-24,1,3,553000,116130,669130
554,2020-02-03,3,3,554000,116340,670340
555,2022-06-06,3,3,555000,116550,671550
556,2021-11-26,2,3,556000,116760,672760
557,2022-02-11,1,1,557000,116970,673970
558,2022-02-11,1,3,558000,117180,675180
559,2024-04-12,1,3,559000,117390,676390
560,2024-10-12,2,3,560000,117600,677600
561,2020-01-25,3,1,561000,117810,678810
562,2022-05-03,2,2,562000,118020,680020
563,2020-08-23,3,1,563000,118230,681230
564,2021-09-15,1,1,564000,118440,682440
565,2021-04-30,3,1,565000,118650,683650
566,2023-12-01,2,3,566000,118860,684860
567,2024-11-01,1,3,567000,119070,686070
568,2024-03-12,2,3,568000,119280,687280
569,2024-10-17,1,2,569000,119490,688490
570,2022-11-16,2,1,570000,119700,689700
571,2024-06-11,2,3,571000,119910,690910
572,2024-07-21,3,2,572000,120120,692120
573,2023-05-20,1,1,573000,120330,693330
574,2024-02-29,1,2,574000,120540,694540
575,2020-08-18,2,2,575000,120750,695750
576,2023-11-12,3,1,576000,120960,696960
577,2020-11-11,2,2,577000,121170,698170
578,2020-11-27,1,1,578000,121380,699380
579,2020-04-10,3,3,579000,121590,700590
580,2021-01-24,1,1,580000,121800,701800
581,2024-02-10,1,1,581000,122010,703010
582,2023-03-16,3,1,582000,122220,704220
583,2022-02-26,1,3,583000,122430,705430
584,2021-09-15,1,1,584000,122640,706640
585,2022-04-17,1,1,585000,122850,707850
586,2020-10-25,3,2,586000,123060,709060
587,2022-12-19,1,2,587000,123270,710270
588,2022-04-17,1,1,588000,123480,711480
589,2023-01-22,3,3,589000,123690,712690
590,2022-04-05,3,1,590000,123900,713900
591,2024-08-27,1,1,591000,124110,715110
592,2023-04-21,2,3,592000,124320,716320
593,2020-03-01,3,2,593000,124530,717530
594,2022-12-09,1,3,594000,124740,718740
595,2023-06-16,2,3,595000,124950,719950
596,2020-02-27,1,2,596000,125160,721160
597,2024-01-04,1,3,597000,125370,722370
598,2021-07-25,2,1,598000,125580,723580
599,2022-10-09,2,1,599000,125790,724790
600,2020-11-29,1,3,600000,126000,726000
601,2022-10-15,3,1,601000,126210,727210
602,2023-12-02,2,1,602000,126420,728420
603,2022-05-05,1,3,603000,126630,729630
604,2024-01-19,2,1,604000,126840,730840
605,2023-02-05,3,2,605000,127050,732050
606,2024-10-06,2,2,606000,127260,733260
607,2023-09-27,3,2,607000,127470,734470
608,2020-07-29,1,3,608000,127680,735680
609,2023-03-07,3,1,609000,127890,736890
610,2021-02-04,3,3,610000,128100,738100
611,2020-08-13,1,3,611000,128310,739310
612,2023-11-26,2,2,612000,128520,740520
613,2023-11-25,1,2,613000,128730,741730
614,2023-12-23,1,1,614000,128940,742940
615,2022-07-13,3,2,615000,129150,744150
616,2023-09-17,2,1,616000,129360,745360
617,2020-10-10,3,2,617000,129570,746570
618,2020-08-18,3,2,618000,129780,747780
619,2023-03-17,2,2,619000,129990,748990
620,2020-05-18,2,2,620000,130200,750200
621,2021-05-04,1,3,621000,130410,751410
622,2024-05-14,3,1,622000,130620,752620
623,2024-06-22,1,3,623000,130830,753830
624,2023-03-18,3,1,624000,131040,755040
625,2023-12-13,3,3,625000,131250,756250
626,2020-06-22,2,3,626000,131460,757460
627,2021-01-02,3,3,627000,131670,758670
628,2022-08-25,1,3,628000,131880,759880
629,2024-02-29,3,3,629000,132090,761090
630,2024-01-14,3,2,630000,132300,762300
631,2021-06-21,3,1,631000,132510,763510
632,2020-07-12,2,1,632000,132720,764720
